function_entry	function_name	string
ffffffffbfc230f4	FUN_ffffffffbfc230f4	U-Boot 1.1.1 (Development build, svnversion: 193M) (Build time: Jun 14 2012 - 15:20:38)
ffffffffbfc230f4	FUN_ffffffffbfc230f4	\n\n%s\n\n
ffffffffbfc23c08	FUN_ffffffffbfc23c08	0123456789ABCDEFGHIJKLMNOPQRSTUVWXYZ
ffffffffbfc23e9c	FUN_ffffffffbfc23e9c	<NULL>
ffffffffbfc2744c	FUN_ffffffffbfc2744c	in set_reg_sc\n
ffffffffbfc27acc	do_reset	*** reset failed ***\n
ffffffffbfc28334	FUN_ffffffffbfc28334	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc285d4	FUN_ffffffffbfc285d4	[DEBUG STUB]Output too long: %d\n
ffffffffbfc285d4	FUN_ffffffffbfc285d4	0123456789abcdef
ffffffffbfc286bc	FUN_ffffffffbfc286bc	## Loading Linux kernel with entry point: 0x%08qx ...\n
ffffffffbfc288a0	FUN_ffffffffbfc288a0	!Core XX 
ffffffffbfc29d5c	octeon_mdio_read_c22	ERROR: miiphy_read_wrapper(0x%x, 0x%x) timed out.\n
ffffffffbfc29dd8	bcm53115_pseudophy_write64	ERROR: writing switch reg expired (page=%x, reg=%x, datum=%x)\n
ffffffffbfc29f58	bcm53115_pseudophy_read	ERROR: ading switch reg expired (pagere=%x, reg=%x)\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	disable_networking
ffffffffbfc2a454	FUN_ffffffffbfc2a454	Networking disabled with 'disable_networking' environment variable, skipping RGMII interface\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	No available MAC addresses for RGMII interface, skipping\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	\n[This application is accord with GPL rule.]\n\n\n\n\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	WARNING:\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	WARNING:OCTEON pass 1 does not support network hardware reset.\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	WARNING:Bootloader networking use will cause unstable operation of any other\n
ffffffffbfc2a454	FUN_ffffffffbfc2a454	WARNING:program or OS using the network hardware.\n
