path,type,size,mode
bin/switchVlanDBConfig,file,31204,0o755
bin/tc,file,243924,0o755
bin/tcpdump,file,793944,0o755
bin/tcpdumpConfig,file,8832,0o755
bin/timeShow,file,5288,0o755
bin/timezonechangescript.sh,file,60,0o755
bin/tinylogin,file,46012,0o755
bin/tmLanIPChange.sh,file,125,0o755
bin/traceroute,file,79908,0o755
bin/updateGatedesc.lua,file,803,0o755
bin/upgrade,file,17299,0o755
bin/upgrade.sh,file,1593,0o755
bin/upgradeCopy.sh,file,226,0o755
bin/upgradePrep.sh,file,2168,0o755
bin/upnpConfig,file,17280,0o755
bin/upnpShowConfig,symlink,23,0o777
bin/upnpd,file,45500,0o755
bin/urlFilterd,file,6284,0o755
bin/user2.lua,file,13695,0o644
bin/user3.lua,file,488,0o755
bin/userDBImport,file,19192,0o755
bin/usrRadius,file,5772,0o755
bin/vipsecureConfig,file,83772,0o755
bin/vipsecureStatus,file,21092,0o755
bin/vlanConfig,file,17237,0o755
bin/vlanDBConfig,file,17532,0o755
bin/vlanDelete.sh,file,380,0o755
bin/wanUpdate.sh,file,343,0o755
bin/wan_install.sh,file,3063,0o755
bin/wan_uninstall.sh,file,204,0o755
bin/writecfg.sh,file,124,0o755
bin/x509Config,file,21072,0o755
bin/x509GetVersion,file,5340,0o755
bin/x509SelfSign,file,8336,0o755
bin/zebra,file,227288,0o755
etc,dir,3000,0o755
etc/6to4.config,file,42,0o644
etc/6to4Init,file,12,0o644
etc/8021pRemark.config,file,56,0o644
etc/8021pRemarkInit,file,577,0o644
etc/adaptos.config,file,48,0o644
etc/adaptosInit,file,175,0o755
etc/bonjour.config,file,37,0o644
etc/bonjourInit,file,835,0o755
etc/bridgeLib.config,file,52,0o644
etc/bridgeLibInit,file,371,0o755
etc/bwLimit.config,file,48,0o644
etc/bwLimitInit,file,624,0o755
etc/clish,dir,520,0o755
etc/clish/6to4.xml,file,2630,0o644
etc/clish/bwLimit.xml,file,10360,0o644
etc/clish/dot11-config.xml,file,37785,0o644
etc/clish/dot11-show.xml,file,11538,0o644
etc/clish/ethernet-config.xml,file,2288,0o644
etc/clish/ethernet-show.xml,file,1006,0o644
etc/clish/ifDev-config.xml,file,4001,0o644
etc/clish/ifDev-show.xml,file,2913,0o644
etc/clish/isatap.xml,file,4446,0o644
etc/clish/logging-config.xml,file,8503,0o644
etc/clish/logging-show.xml,file,954,0o644
etc/clish/portManagement.xml,file,4387,0o644
etc/clish/radius-config.xml,file,3187,0o644
etc/clish/radius-show.xml,file,1734,0o644
etc/clish/radvd.xml,file,10338,0o644
etc/clish/routing-config.xml,file,8782,0o644
etc/clish/snmp-config.xml,file,5478,0o644
etc/clish/snmp-show.xml,file,641,0o644
etc/clish/system-config.xml,file,311,0o644
etc/clish/system.xml,file,587,0o644
etc/clish/time-config.xml,file,2824,0o644
etc/clish/time-show.xml,file,540,0o644
etc/clish/upnp.xml,file,3026,0o644
etc/clish/utilities.xml,file,1118,0o644
etc/config.config,file,68,0o644
etc/configInit,file,2527,0o755
etc/config_disallow_wep_in_11n.sh,file,1265,0o755
etc/cpuMemUsage.config,file,0,0o755
etc/cpuMemUsageInit,file,0,0o644
etc/cron.config,file,42,0o644
etc/cronInit,file,304,0o755
etc/ddns.config,file,42,0o644
etc/ddnsInit,file,168,0o755
etc/delDbglog.sh,file,170,0o644
etc/dnsmasq.conf,file,14561,0o644
etc/dot11.config,file,232,0o644
etc/dot11Init,file,2923,0o755
etc/dproxy.config,file,46,0o644
etc/dproxyInit,file,172,0o755
etc/endChant.config,file,50,0o644
etc/endChantInit,file,369,0o755
etc/evtDsptch.config,file,52,0o644
etc/evtDsptchInit,file,279,0o755
etc/firewall.config,file,186,0o644
etc/firewallInit,file,5335,0o644
etc/firewallPolicyInit,file,331,0o644
etc/firmware.config,file,31,0o644
etc/firmwareInit,file,587,0o755
etc/hardwareOffload.lua,file,1670,0o644
etc/havp,dir,60,0o755
etc/havp/templates,dir,60,0o755
etc/havp/templates/en,dir,220,0o755
etc/havp/templates/en/blacklist.html,file,1200,0o644
etc/havp/templates/en/dns.html,file,1188,0o644
etc/havp/templates/en/down.html,file,1097,0o644
etc/havp/templates/en/error.html,file,1208,0o644
etc/havp/templates/en/invalid.html,file,1103,0o644
etc/havp/templates/en/maxsize.html,file,1196,0o644
etc/havp/templates/en/request.html,file,1095,0o644
etc/havp/templates/en/scanner.html,file,1292,0o644
etc/havp/templates/en/virus.html,file,1199,0o644
etc/havp.config,file,511,0o644
etc/havpInit,file,1595,0o755
etc/ifDev.config,file,44,0o644
etc/ifDevInit,file,565,0o644
etc/ifStatic.config,file,48,0o644
etc/ifStaticInit,file,172,0o755
etc/ifgroup.config,file,18,0o644
etc/ifgroupInit,file,363,0o755
etc/igmpproxy.conf,file,1449,0o755
etc/iproute.config,file,63,0o644
etc/iprouteInit,file,169,0o755
etc/ipsec,dir,120,0o755
etc/ipsec/phase1-down_client.sh,file,1960,0o755
etc/ipsec/phase1-down_server.sh,file,2141,0o755
etc/ipsec/phase1-up_client.sh,file,2192,0o755
etc/ipsec/phase1-up_server.sh,file,3074,0o755
etc/ipset.config,file,16,0o755
etc/ipsetInit,file,282,0o755
etc/iptables.config,file,19,0o755
etc/iptablesInit,file,1800,0o755
etc/isatap.config,file,46,0o644
etc/isatapInit,file,12,0o644
etc/jumboInit,file,491,0o755
etc/kepler,dir,60,0o755
etc/kepler/1.1,dir,80,0o755
etc/kepler/1.1/cgilua,dir,60,0o755
etc/kepler/1.1/cgilua/config.lua,file,1176,0o644
etc/kepler/1.1/kepler_init.lua,file,1269,0o644
etc/kepler.config,file,104,0o644
etc/keplerInit,file,286,0o755
etc/klite.config,file,44,0o644
etc/kliteInit,file,432,0o755
etc/l2tp,file,158,0o755
etc/l2tp-connect,file,400,0o755
etc/l2tp.config,file,42,0o644
etc/l2tpInit,file,840,0o755
etc/langroups.config,file,52,0o644
etc/langroupsInit,file,178,0o755
etc/linkdetect.config,file,33,0o644
etc/linkdetectInit,file,0,0o644
etc/logging.config,file,48,0o644
etc/loggingInit,file,269,0o755
etc/logs.sql,file,486,0o644
etc/lua.config,file,40,0o644
etc/luaInit,file,166,0o755
etc/manfacCode.config,file,55,0o644
etc/manfacCodeInit,file,31,0o644
etc/memOptimizationInit,file,35,0o755
etc/mibctl.config,file,46,0o644
etc/mibctlInit,file,298,0o755
etc/mime.types,file,12786,0o755
etc/network-functions,file,9315,0o755
etc/nimf.config,file,42,0o644
etc/nimfInit,file,460,0o755
etc/options,file,7944,0o755
etc/options.pptpd,file,340,0o644
etc/platform.config,file,3840,0o644
etc/platformInit,file,4544,0o755
etc/pnac.config,file,42,0o644
etc/pnacInit,file,465,0o755
etc/portMgmt.config,file,50,0o644
etc/portMgmtInit,file,213,0o755
etc/ppp,dir,60,0o755
